Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Spread High-Low,Spread Close-Open
25-Oct-19,644.3,652.5,636,637.55,644.0597705,834375,22922,537387371,16.5,-6.75
24-Oct-19,650.7,653.1,632.05,635.4,643.1423445,1726291,37888,1110250841,21.05,-15.3
23-Oct-19,637.3,656.4,615,650.75,635.9594299,5055545,61041,3215121516,41.4,13.45
22-Oct-19,691,691,638.3,643.3,658.460882,11771789,94317,7751262568,52.7,-47.7
18-Oct-19,766.65,773.6,760.1,767.75,767.35336,279245,7422,214279589,13.5,1.1
17-Oct-19,768.9,770.55,765.2,769.1,768.1133518,180800,5200,138874894,5.35,0.2
16-Oct-19,768,776,762,771.45,770.849781,322436,6766,248549720,14,3.45
15-Oct-19,773.8,774.75,765,767.8,769.7236277,342205,10595,263403274,9.75,-6
14-Oct-19,789,796.9,781,785.65,788.615263,454942,10748,358774205,15.9,-3.35
11-Oct-19,785.95,823.35,777,815.7,806.6486914,532657,16996,429667072,46.35,29.75
10-Oct-19,783.5,794.5,777.1,782.9,784.7375202,166108,4887,130351180,17.4,-0.6
09-Oct-19,793.5,796,779,784,783.871942,132315,3953,103718016,17,-9.5
07-Oct-19,795,802.2,786.5,789.55,790.4429687,179647,4680,142000708,15.7,-5.45
04-Oct-19,795,797.55,788.1,793.25,793.9678947,215977,3986,171478804,9.45,-1.75
03-Oct-19,793,797.75,784.3,785.5,792.0804583,126115,3733,99893227,13.45,-7.5
01-Oct-19,809.8,809.8,791.75,793.55,795.3010145,225039,4245,178973745,18.05,-16.25
30-Sep-19,782.35,807.95,782.35,805.3,800.3920652,350883,8658,280843969,25.6,22.95
27-Sep-19,788,794.25,780.05,782.35,790.5658915,624420,4446,493645154,14.2,-5.65
26-Sep-19,792,796.85,778.5,782.05,784.4022626,337839,7046,265001676,18.35,-9.95
25-Sep-19,791,801.55,782.2,792.2,795.5465552,461452,8247,367106549,19.35,1.2
24-Sep-19,767.7,798.7,766,794.05,785.0487065,958044,14829,752111203,32.7,26.35
23-Sep-19,810,810,742.1,765.1,768.3575761,1147448,26563,881650364,67.9,-44.9
20-Sep-19,822.35,834.75,802,805.1,818.2026971,354899,8804,290379319,32.75,-17.25
19-Sep-19,825,826.65,815.1,821,821.568984,116759,2871,95925573,11.55,-4
18-Sep-19,831.05,832.9,824.35,829.85,828.6369736,82724,2245,68548165,8.55,-1.2
17-Sep-19,830,834,821,831.05,826.9074766,99229,2765,82053202,13,1.05
16-Sep-19,831.55,838,821,827.45,827.9520948,114142,3047,94504108,17,-4.1
13-Sep-19,816,830.85,816,829.15,824.5678853,138896,3672,114529181,14.85,13.15
12-Sep-19,818,819.8,811.2,816.35,815.9742778,90350,3067,73723276,8.6,-1.65
11-Sep-19,821.65,827.95,814.7,820.1,819.4029257,265029,3642,217165538,13.25,-1.55
09-Sep-19,838.05,840,827.3,829.2,831.1375114,118172,2988,98217182,12.7,-8.85
06-Sep-19,838,847.4,835.15,840.15,841.1895072,145166,3732,122112116,12.25,2.15
05-Sep-19,827.1,837,826.4,834.2,832.6192826,252694,8205,210397897,10.6,7.1
04-Sep-19,813.7,822.7,810.25,821.05,818.2097334,138123,3340,113013583,12.45,7.35
03-Sep-19,815,822.3,812.05,814.3,817.6239274,132158,3368,108055543,10.25,-0.7
30-Aug-19,808,817.5,802,814.6,809.0969133,156965,4282,126999897,15.5,6.6
29-Aug-19,798.9,809.65,796,806.85,804.5371858,177460,4038,142773169,13.65,7.95
28-Aug-19,785.1,804.9,785.1,802.1,796.4700648,164188,4669,130770827,19.8,17
27-Aug-19,791,795,781.2,785,786.0317785,248061,6542,194983829,13.8,-6
26-Aug-19,800,806.75,787.5,802.9,799.5790642,174352,4662,139408209,19.25,2.9
23-Aug-19,798,809.95,796,801.9,801.943689,355792,8624,285325149,13.95,3.9
22-Aug-19,800.8,800.8,792.5,795.9,797.2191935,199130,9671,158750258,8.3,-4.9
21-Aug-19,792.8,803,792.75,799.55,799.3633211,339416,13955,271316701,10.25,6.75
20-Aug-19,781.05,797.9,781.05,792.9,793.1579536,513651,16144,407406376,16.85,11.85
19-Aug-19,777,783.3,773.8,777.8,779.7080034,262801,12926,204908043,9.5,0.8
16-Aug-19,779,779.8,762.25,774.55,772.3665521,226017,8379,174567971,17.55,-4.45
14-Aug-19,774,778.5,768.45,774.9,773.448424,341438,13388,264084683,10.05,0.9
13-Aug-19,788.35,788.35,760.5,764.1,772.520419,600910,14270,464215245,27.85,-24.25
09-Aug-19,791.5,796.4,785.5,790.15,790.2062532,483333,11043,381932759,10.9,-1.35
08-Aug-19,778,792.9,778,789.1,787.5976229,539576,14821,424968775,14.9,11.1
07-Aug-19,779,783.6,772.35,776.15,779.380345,462609,14771,360548362,11.25,-2.85
06-Aug-19,778,783.9,770,774.65,773.6684472,852181,14443,659305551,13.9,-3.35
05-Aug-19,773,785.75,768.25,776.75,778.2953816,471827,12258,367220775,17.5,3.75
02-Aug-19,769,780,762.4,775.4,770.1582228,390658,13475,300868471,17.6,6.4
01-Aug-19,790.8,790.8,764.8,769.05,774.586369,365299,11630,282955626,26,-21.75
31-Jul-19,792,799.45,781.75,794,791.1240527,302444,7635,239270723,17.7,2
30-Jul-19,792,798,788.25,792.8,794.4190135,267946,8017,212861397,9.75,0.8
29-Jul-19,787.55,796.85,786.4,791.55,791.3126439,272313,8546,215484720,10.45,4
26-Jul-19,793,794.7,782.7,787.3,786.5787304,293235,10435,230652414,12,-5.7
25-Jul-19,787,800.25,787,795.05,793.5811088,327591,9010,259970029,13.25,8.05
24-Jul-19,789.5,793.3,783.65,786.05,787.0543791,345353,7405,271811591,9.65,-3.45
23-Jul-19,785.45,804.25,785.45,789.9,796.6158035,497688,10729,396466126,18.8,4.45
22-Jul-19,786.9,792,782.25,785.15,788.7148659,333145,17084,262756414,9.75,-1.75
19-Jul-19,789.7,794.4,781.4,785.6,787.3957721,205113,6584,161505109,13,-4.1
18-Jul-19,792.4,798.6,786.05,793.15,794.1440473,248113,6837,197037462,12.55,0.75
17-Jul-19,784.7,795,777,794.3,789.6926756,253810,7585,200431898,18,9.6
